Label	Text
remove	exclude oat flour
substitute	i prefer milk over chia seeds
substitute	i prefer tofu over mushroom
substitute	please use rice instead of sugar
substitute	replace chicken with beef
add	can you add chia seeds?
remove	delete eggs from the list
substitute	change yogurt to milk
remove	exclude oat flour
remove	no almond milk in this
substitute	exchange butter with tofu
add	i want to include butter
remove	remove beef
substitute	change cheese to mushroom
remove	skip the butter
add	add almond milk
remove	don't use honey
add	add rice
remove	delete sugar from the list
remove	eliminate eggs
substitute	can we swap butter with eggs?
add	include chicken please
remove	don't use tofu
add	include flour please
substitute	i prefer eggs over flour
add	include tofu please
add	insert rice to my recipe
add	please add eggs
add	insert vegan cheese to my recipe
add	please add coconut milk
remove	exclude oat flour
add	i want to include eggs
remove	skip the eggs
substitute	substitute tofu for sugar
remove	can you remove chia seeds?
add	i'd like to add eggs
substitute	replace eggs with tofu
add	please add quinoa
add	please add flour
remove	skip the oat flour
remove	can you remove beef?
remove	get rid of eggs
add	let's put olive oil in it
remove	eliminate cheese
remove	don't use eggs
add	let's put beef in it
substitute	change chia seeds to tofu
add	insert rice to my recipe
substitute	trade vegan cheese for beef
add	i want to include beef
substitute	change chicken to sugar
remove	don't use rice
remove	no cheese in this
add	i'd like to add quinoa
substitute	i prefer flour over beef
add	please add butter
add	add vegan cheese
remove	get rid of flour
substitute	trade chicken for almond milk
add	throw in some tofu
add	i want to include chicken
add	add oat flour to the list
substitute	change honey to beef
add	let's put olive oil in it
add	throw in some coconut milk
remove	remove chicken
substitute	change sugar to mushroom
substitute	can we swap chicken with chia seeds?
substitute	can we swap chia seeds with milk?
substitute	switch chicken for flour
add	i want to include coconut milk
add	add eggs to the list
add	throw in some sugar
remove	eliminate chia seeds
add	i'd like to add cheese
add	can you add eggs?
add	let's put sugar in it
add	insert chicken to my recipe
remove	don't use chia seeds
remove	can you remove quinoa?
substitute	use flour instead of milk
remove	can you remove sugar?
remove	don't use sugar
add	can you add chicken?
add	please add eggs
remove	can you remove coconut milk?
add	i'd like to add butter
substitute	replace sugar with flour
substitute	trade olive oil for oat flour
substitute	substitute tofu for almond milk
add	please add almond milk
remove	skip the coconut milk
remove	take out olive oil
add	throw in some eggs
remove	get rid of chicken
substitute	use quinoa instead of flour
add	please add honey
substitute	use butter instead of eggs
substitute	please use coconut milk instead of honey
add	add yogurt to the list
substitute	please use sugar instead of oat flour
remove	take out mushroom
add	let's put quinoa in it
remove	don't use beef
substitute	switch almond milk for vegan cheese
add	can you add chicken?
add	insert yogurt to my recipe
remove	remove olive oil
remove	delete honey from the list
substitute	change chia seeds to mushroom
substitute	use cheese instead of chicken
add	i want to include flour
remove	no quinoa in this
substitute	substitute beef for olive oil
remove	remove eggs
substitute	exchange beef with oat flour
remove	exclude rice
substitute	exchange mushroom with rice
remove	eliminate olive oil
add	insert vegan cheese to my recipe
add	throw in some milk
add	i'd like to add almond milk
substitute	can we swap sugar with butter?
add	please add yogurt
substitute	i prefer yogurt over tofu
remove	remove beef
substitute	can we swap almond milk with oat flour?
substitute	switch sugar for mushroom
add	add vegan cheese
remove	delete rice from the list
remove	get rid of butter
substitute	i prefer milk over butter
substitute	switch beef for chicken
add	throw in some oat flour
substitute	change sugar to tofu
remove	no flour in this
remove	get rid of flour
substitute	substitute butter for cheese
substitute	replace quinoa with coconut milk
add	i'd like to add oat flour
remove	no chia seeds in this
add	throw in some tofu
add	include beef please
add	i'd like to add eggs
substitute	can we swap beef with chicken?
remove	take out cheese
add	add quinoa
remove	remove yogurt
remove	no mushroom in this
add	add chia seeds to the list
add	can you add beef?
substitute	exchange cheese with rice
remove	don't use sugar
add	let's put beef in it
substitute	switch eggs for tofu
remove	exclude cheese
substitute	switch honey for quinoa
add	add flour to the list
remove	get rid of flour
remove	skip the beef
remove	don't use chia seeds
substitute	change flour to mushroom
add	i'd like to add yogurt
remove	can you remove milk?
substitute	can we swap eggs with butter?
substitute	switch mushroom for honey
substitute	exchange oat flour with flour
add	can you add rice?
add	insert yogurt to my recipe
substitute	trade oat flour for rice
substitute	exchange chia seeds with oat flour
remove	take out sugar
add	add eggs
remove	skip the beef
remove	skip the chicken
remove	take out flour
substitute	trade quinoa for cheese
substitute	replace cheese with oat flour
remove	delete quinoa from the list
remove	don't use vegan cheese
remove	skip the butter
remove	get rid of honey
substitute	can we swap sugar with flour?
substitute	please use chicken instead of sugar
remove	remove quinoa
substitute	exchange flour with honey
remove	exclude flour
add	can you add yogurt?
remove	take out quinoa
remove	don't use rice
remove	exclude sugar
add	insert beef to my recipe
add	i'd like to add olive oil
remove	no butter in this
remove	skip the tofu
remove	exclude beef
substitute	can we swap mushroom with vegan cheese?
substitute	use sugar instead of honey
substitute	switch beef for butter
remove	don't use beef
substitute	exchange cheese with rice
substitute	use chicken instead of eggs
add	add oat flour to the list
add	insert coconut milk to my recipe
substitute	exchange chicken with honey
substitute	use milk instead of beef
remove	can you remove tofu?
remove	take out quinoa
add	include flour please
remove	take out oat flour
add	please add honey
add	i want to include quinoa
substitute	switch mushroom for tofu
add	add almond milk to the list
remove	skip the beef
remove	don't use chia seeds
add	insert mushroom to my recipe
add	add oat flour to the list
substitute	change oat flour to tofu
remove	delete sugar from the list
add	please add chia seeds
add	include eggs please
remove	eliminate vegan cheese
add	throw in some quinoa
add	add tofu to the list
remove	no honey in this
substitute	can we swap sugar with chia seeds?
remove	get rid of tofu
substitute	please use yogurt instead of rice
remove	can you remove honey?
substitute	use beef instead of butter
add	add oat flour
add	please add sugar
add	insert vegan cheese to my recipe
remove	delete beef from the list
remove	skip the mushroom
substitute	can we swap yogurt with sugar?
substitute	please use honey instead of sugar
substitute	trade vegan cheese for olive oil
substitute	substitute coconut milk for chicken
substitute	trade oat flour for sugar
remove	no butter in this
remove	exclude eggs
add	please add flour
substitute	exchange chicken with almond milk
add	please add chicken
substitute	replace vegan cheese with sugar
remove	don't use quinoa
remove	skip the butter
substitute	substitute yogurt for honey
add	insert rice to my recipe
remove	take out butter
add	insert yogurt to my recipe
remove	no almond milk in this
substitute	substitute mushroom for milk
remove	don't use oat flour
substitute	change eggs to sugar
remove	exclude beef
add	i'd like to add butter
add	i want to include honey
substitute	trade honey for quinoa
substitute	use almond milk instead of vegan cheese
add	insert chicken to my recipe
substitute	use vegan cheese instead of rice
substitute	change mushroom to tofu
add	i want to include mushroom
add	let's put sugar in it
substitute	switch milk for butter
substitute	use coconut milk instead of vegan cheese
remove	get rid of chia seeds
remove	skip the eggs
add	throw in some coconut milk
add	add flour
add	i want to include vegan cheese
add	i want to include eggs
add	insert sugar to my recipe
add	add coconut milk
add	insert quinoa to my recipe
remove	remove olive oil
add	include honey please
remove	take out beef
substitute	change beef to yogurt
remove	remove olive oil
substitute	replace rice with mushroom
substitute	can we swap flour with oat flour?
substitute	i prefer flour over tofu
add	can you add coconut milk?
remove	no rice in this
add	insert coconut milk to my recipe
substitute	i prefer quinoa over almond milk
substitute	trade coconut milk for quinoa
substitute	i prefer vegan cheese over rice
add	please add cheese
remove	no beef in this
remove	delete flour from the list
add	include olive oil please
remove	skip the almond milk
remove	delete butter from the list
remove	can you remove oat flour?
add	i want to include olive oil
remove	no chia seeds in this
substitute	can we swap olive oil with almond milk?
remove	remove olive oil
remove	eliminate sugar
substitute	change milk to quinoa
add	let's put milk in it
substitute	switch flour for beef
add	add coconut milk
substitute	please use milk instead of olive oil
add	please add tofu
add	insert olive oil to my recipe
substitute	change tofu to cheese
remove	can you remove mushroom?
substitute	substitute chia seeds for honey
add	add vegan cheese
substitute	replace flour with cheese
substitute	change flour to eggs
remove	take out flour
substitute	substitute beef for almond milk
add	let's put vegan cheese in it
add	add olive oil
add	can you add olive oil?
add	i'd like to add oat flour
add	add chia seeds to the list
add	insert butter to my recipe
remove	can you remove rice?
remove	skip the beef
add	add oat flour
add	please add eggs
remove	remove beef
add	let's put cheese in it
substitute	exchange butter with coconut milk
substitute	substitute vegan cheese for oat flour
add	i'd like to add sugar
remove	get rid of honey
substitute	substitute tofu for almond milk
remove	take out chicken
substitute	exchange yogurt with tofu
substitute	exchange honey with quinoa
substitute	i prefer flour over yogurt
substitute	substitute coconut milk for sugar
add	include beef please
add	throw in some almond milk
add	throw in some vegan cheese
add	add vegan cheese to the list
add	throw in some rice
add	i want to include eggs
add	insert quinoa to my recipe
substitute	exchange chia seeds with olive oil
remove	can you remove coconut milk?
remove	no chicken in this
substitute	replace olive oil with almond milk
substitute	replace yogurt with butter
substitute	i prefer honey over flour
add	can you add eggs?
add	can you add eggs?
substitute	change quinoa to sugar
remove	can you remove yogurt?
remove	skip the olive oil
substitute	can we swap mushroom with butter?
remove	get rid of coconut milk
substitute	switch yogurt for olive oil
remove	get rid of chia seeds
remove	get rid of mushroom
substitute	change yogurt to chia seeds
substitute	exchange almond milk with flour
add	add butter
remove	take out eggs
substitute	switch vegan cheese for eggs
add	insert flour to my recipe
remove	exclude mushroom
remove	get rid of honey
add	add chia seeds
substitute	please use cheese instead of oat flour
remove	remove quinoa
remove	no olive oil in this
remove	don't use milk
substitute	trade oat flour for almond milk
remove	no almond milk in this
add	insert vegan cheese to my recipe
substitute	please use mushroom instead of sugar
add	include oat flour please
substitute	use eggs instead of rice
substitute	exchange sugar with chia seeds
remove	get rid of honey
remove	skip the almond milk
substitute	can we swap vegan cheese with olive oil?
remove	don't use honey
substitute	can we swap flour with rice?
add	insert chia seeds to my recipe
remove	get rid of tofu
remove	remove tofu
substitute	switch coconut milk for sugar
substitute	can we swap eggs with vegan cheese?
substitute	can we swap oat flour with mushroom?
remove	delete chia seeds from the list
substitute	change rice to flour
remove	can you remove chia seeds?
remove	delete honey from the list
substitute	use beef instead of mushroom
remove	take out cheese
substitute	please use chia seeds instead of beef
add	add butter
remove	don't use flour
substitute	trade chicken for olive oil
add	let's put beef in it
add	can you add beef?
add	let's put sugar in it
remove	skip the butter
remove	exclude rice
remove	exclude chia seeds
remove	don't use yogurt
remove	no honey in this
remove	get rid of mushroom
remove	no oat flour in this
substitute	please use sugar instead of vegan cheese
add	add butter to the list
add	insert honey to my recipe
substitute	can we swap almond milk with sugar?
remove	can you remove chicken?
add	insert olive oil to my recipe
remove	remove coconut milk
substitute	replace oat flour with rice
remove	eliminate olive oil
add	i want to include butter
add	add almond milk
remove	no honey in this
remove	don't use chicken
add	add vegan cheese to the list
add	throw in some beef
remove	exclude mushroom
substitute	change butter to quinoa
add	i want to include milk
substitute	use honey instead of milk
substitute	use olive oil instead of yogurt
remove	get rid of chia seeds
substitute	use almond milk instead of quinoa
substitute	change vegan cheese to cheese
add	please add beef
remove	eliminate eggs
add	let's put olive oil in it
add	include butter please
add	let's put beef in it
substitute	i prefer vegan cheese over chia seeds
remove	can you remove honey?
add	can you add rice?
add	please add tofu
remove	delete honey from the list
remove	skip the honey
substitute	use butter instead of vegan cheese
add	i'd like to add sugar
substitute	switch sugar for butter
remove	no quinoa in this
remove	delete oat flour from the list
remove	skip the sugar
remove	can you remove honey?
remove	delete mushroom from the list
substitute	replace almond milk with cheese
remove	don't use chia seeds
substitute	can we swap vegan cheese with rice?
add	please add almond milk
remove	exclude chia seeds
substitute	use eggs instead of quinoa
substitute	trade quinoa for vegan cheese
substitute	can we swap flour with chia seeds?
remove	eliminate chia seeds
substitute	change coconut milk to tofu
add	i want to include coconut milk
substitute	use quinoa instead of almond milk
add	can you add butter?
add	i'd like to add coconut milk
substitute	replace almond milk with quinoa
remove	eliminate beef
add	insert tofu to my recipe
substitute	change chicken to chia seeds
add	include quinoa please
add	add yogurt
remove	get rid of olive oil
remove	no butter in this
substitute	change oat flour to almond milk
substitute	can we swap cheese with rice?
add	let's put oat flour in it
substitute	exchange flour with beef
remove	get rid of cheese
remove	can you remove milk?
substitute	replace beef with rice
add	please add chia seeds
substitute	trade coconut milk for olive oil
add	can you add eggs?
remove	don't use flour
substitute	exchange butter with rice
substitute	switch coconut milk for yogurt
substitute	can we swap mushroom with tofu?
substitute	replace beef with flour
remove	exclude quinoa
add	throw in some butter
add	add yogurt
add	please add beef
add	throw in some coconut milk
substitute	switch oat flour for tofu
remove	exclude chia seeds
remove	take out coconut milk
add	let's put rice in it
add	please add quinoa
substitute	exchange butter with chia seeds
remove	get rid of quinoa
remove	skip the almond milk
remove	don't use chia seeds
remove	no vegan cheese in this
remove	remove butter
remove	get rid of oat flour
substitute	please use quinoa instead of milk
substitute	switch coconut milk for sugar
add	add cheese to the list
remove	can you remove milk?
add	can you add sugar?
remove	remove cheese
add	insert tofu to my recipe
substitute	i prefer quinoa over flour
substitute	change milk to beef
remove	eliminate sugar
remove	delete flour from the list
remove	skip the oat flour
substitute	can we swap butter with yogurt?
substitute	exchange rice with mushroom
add	include quinoa please
remove	can you remove chia seeds?
substitute	replace oat flour with butter
remove	don't use butter
substitute	exchange yogurt with honey
remove	take out almond milk
remove	get rid of sugar
remove	remove sugar
remove	take out eggs
add	throw in some flour
substitute	i prefer chicken over vegan cheese
add	throw in some beef
remove	eliminate beef
add	throw in some beef
substitute	replace olive oil with cheese
substitute	i prefer honey over mushroom
substitute	i prefer beef over flour
substitute	can we swap flour with beef?
substitute	please use butter instead of mushroom
remove	don't use coconut milk
remove	exclude tofu
remove	exclude eggs
remove	exclude beef
substitute	substitute yogurt for eggs
remove	eliminate sugar
add	i want to include chicken
remove	can you remove chia seeds?
substitute	exchange sugar with almond milk
substitute	exchange beef with tofu
remove	no beef in this
remove	can you remove chicken?
remove	exclude rice
substitute	use cheese instead of vegan cheese
remove	can you remove tofu?
remove	get rid of coconut milk
substitute	exchange cheese with eggs
remove	eliminate eggs
remove	don't use mushroom
add	let's put rice in it
substitute	please use chia seeds instead of rice
add	can you add oat flour?
add	add coconut milk
add	let's put flour in it
remove	eliminate chicken
substitute	switch cheese for rice
remove	no tofu in this
substitute	i prefer chia seeds over sugar
substitute	change chia seeds to coconut milk
remove	remove milk
remove	delete almond milk from the list
add	add vegan cheese to the list
remove	exclude olive oil
remove	delete rice from the list
substitute	i prefer olive oil over coconut milk
substitute	i prefer rice over beef
substitute	replace honey with milk
substitute	replace chia seeds with olive oil
add	can you add chicken?
substitute	use chicken instead of mushroom
substitute	i prefer rice over milk
remove	take out coconut milk
remove	get rid of beef
substitute	trade eggs for olive oil
substitute	switch eggs for almond milk
substitute	switch chia seeds for coconut milk
remove	don't use coconut milk
add	include butter please
substitute	substitute cheese for almond milk
add	can you add olive oil?
add	please add beef
substitute	change cheese to tofu
substitute	use cheese instead of yogurt
remove	skip the beef
substitute	use yogurt instead of almond milk
add	throw in some honey
add	insert cheese to my recipe
add	i'd like to add yogurt
remove	skip the quinoa
add	include flour please
add	please add flour
add	add milk to the list
remove	remove sugar
substitute	substitute eggs for chicken
add	i'd like to add rice
add	add coconut milk
add	include cheese please
remove	remove rice
add	let's put quinoa in it
add	include yogurt please
remove	delete beef from the list
remove	can you remove yogurt?
remove	don't use butter
substitute	i prefer coconut milk over eggs
add	can you add almond milk?
add	add honey
add	insert beef to my recipe
substitute	switch milk for honey
remove	skip the flour
remove	delete coconut milk from the list
add	throw in some chia seeds
add	throw in some cheese
remove	no tofu in this
substitute	use honey instead of tofu
add	include oat flour please
substitute	switch chia seeds for yogurt
remove	skip the milk
substitute	trade almond milk for milk
remove	skip the almond milk
remove	get rid of coconut milk
add	please add quinoa
remove	remove sugar
substitute	switch vegan cheese for cheese
substitute	i prefer yogurt over cheese
remove	exclude tofu
add	add vegan cheese
remove	no milk in this
substitute	use eggs instead of milk
remove	skip the chicken
remove	skip the flour
remove	take out butter
add	can you add sugar?
add	can you add rice?
remove	take out honey
remove	no yogurt in this
remove	can you remove olive oil?
remove	get rid of chicken
add	add honey to the list
add	include yogurt please
add	can you add vegan cheese?
remove	take out almond milk
substitute	replace milk with beef
add	please add rice
add	i want to include quinoa
substitute	switch honey for rice
substitute	trade almond milk for oat flour
add	add honey
add	let's put coconut milk in it
substitute	trade honey for yogurt
remove	can you remove chicken?
add	include vegan cheese please
remove	take out milk
substitute	trade eggs for almond milk
substitute	trade quinoa for coconut milk
add	i want to include sugar
remove	remove olive oil
substitute	replace mushroom with cheese
substitute	please use rice instead of tofu
substitute	please use flour instead of coconut milk
remove	delete oat flour from the list
substitute	substitute beef for mushroom
add	add quinoa
remove	remove flour
substitute	exchange mushroom with cheese
remove	delete eggs from the list
remove	skip the vegan cheese
add	can you add cheese?
add	insert oat flour to my recipe
substitute	exchange vegan cheese with almond milk
add	add cheese to the list
add	i want to include eggs
remove	exclude rice
substitute	please use vegan cheese instead of cheese
add	can you add almond milk?
substitute	use chia seeds instead of milk
substitute	please use eggs instead of quinoa
substitute	change rice to milk
remove	delete sugar from the list
add	i want to include yogurt
substitute	please use chicken instead of oat flour
substitute	please use rice instead of milk
substitute	change almond milk to tofu
remove	skip the yogurt
substitute	switch yogurt for honey
remove	delete mushroom from the list
substitute	can we swap olive oil with tofu?
remove	delete quinoa from the list
add	insert cheese to my recipe
substitute	i prefer flour over milk
add	i want to include chia seeds
remove	don't use beef
remove	no butter in this
substitute	use butter instead of chia seeds
add	i want to include chia seeds
add	add yogurt
remove	exclude mushroom
remove	get rid of rice
add	include oat flour please
remove	eliminate olive oil
remove	take out olive oil
substitute	i prefer quinoa over chia seeds
substitute	exchange vegan cheese with cheese
add	let's put yogurt in it
add	throw in some milk
add	insert vegan cheese to my recipe
add	insert beef to my recipe
remove	exclude vegan cheese
add	include cheese please
remove	no honey in this
remove	can you remove mushroom?
remove	take out milk
add	add flour to the list
remove	take out coconut milk
substitute	change almond milk to beef
add	let's put butter in it
remove	skip the almond milk
remove	don't use cheese
add	add eggs
remove	don't use oat flour
substitute	i prefer oat flour over vegan cheese
add	can you add oat flour?
remove	delete yogurt from the list
substitute	i prefer tofu over butter
add	please add chia seeds
add	include vegan cheese please
add	i'd like to add sugar
substitute	exchange mushroom with olive oil
substitute	change coconut milk to quinoa
add	throw in some chia seeds
remove	get rid of olive oil
add	throw in some chia seeds
remove	skip the flour
substitute	substitute quinoa for rice
add	let's put almond milk in it
substitute	please use vegan cheese instead of chicken
remove	take out mushroom
add	please add chia seeds
remove	don't use vegan cheese
remove	don't use almond milk
substitute	exchange oat flour with almond milk
substitute	substitute flour for olive oil
add	throw in some vegan cheese
remove	delete vegan cheese from the list
substitute	exchange sugar with tofu
add	add honey to the list
add	add butter
remove	take out cheese
remove	no chia seeds in this
add	throw in some butter
add	i want to include eggs
substitute	replace yogurt with tofu
remove	get rid of eggs
add	i'd like to add coconut milk
substitute	please use honey instead of beef
add	throw in some milk
substitute	can we swap vegan cheese with oat flour?
add	please add butter
remove	can you remove vegan cheese?
substitute	trade rice for yogurt
substitute	i prefer butter over flour
remove	don't use eggs
substitute	change olive oil to vegan cheese
substitute	exchange vegan cheese with beef
add	i want to include butter
add	i'd like to add milk
substitute	change almond milk to eggs
add	i'd like to add vegan cheese
add	insert almond milk to my recipe
remove	exclude butter
substitute	trade yogurt for cheese
substitute	use yogurt instead of milk
add	let's put butter in it
substitute	replace coconut milk with honey
substitute	replace coconut milk with chicken
substitute	replace cheese with almond milk
add	i want to include tofu
substitute	substitute yogurt for almond milk
add	throw in some almond milk
remove	don't use chia seeds
substitute	trade yogurt for cheese
remove	delete beef from the list
substitute	switch almond milk for rice
remove	delete quinoa from the list
substitute	can we swap chicken with olive oil?
add	add yogurt
substitute	substitute rice for butter
substitute	exchange honey with quinoa
add	include tofu please
add	include milk please
substitute	switch coconut milk for beef
add	can you add almond milk?
substitute	replace almond milk with eggs
remove	skip the cheese
remove	take out honey
substitute	use flour instead of yogurt
remove	delete yogurt from the list
substitute	trade butter for chia seeds
substitute	change vegan cheese to cheese
remove	take out quinoa
substitute	i prefer coconut milk over milk
substitute	change chia seeds to honey
remove	remove vegan cheese
substitute	switch butter for eggs
remove	no eggs in this
add	i'd like to add milk
substitute	trade oat flour for rice
substitute	substitute chicken for milk
add	add mushroom
substitute	switch quinoa for sugar
remove	delete eggs from the list
substitute	exchange eggs with oat flour
remove	no tofu in this
remove	skip the quinoa
remove	eliminate butter
add	insert flour to my recipe
substitute	i prefer yogurt over chia seeds
substitute	replace coconut milk with olive oil
remove	take out olive oil
add	i want to include yogurt
substitute	change almond milk to tofu
substitute	i prefer honey over vegan cheese
remove	no almond milk in this
add	i'd like to add flour
remove	get rid of flour
add	let's put honey in it
add	throw in some flour
add	include tofu please
remove	skip the vegan cheese
substitute	can we swap eggs with honey?
add	please add sugar
remove	no cheese in this
remove	remove beef
add	include chia seeds please
add	add quinoa to the list
remove	can you remove sugar?
add	i want to include tofu
add	throw in some beef
substitute	replace mushroom with almond milk
substitute	please use coconut milk instead of tofu
add	please add coconut milk
add	include butter please
remove	can you remove milk?
add	throw in some rice
add	throw in some quinoa
remove	take out flour
remove	take out olive oil
add	can you add sugar?
substitute	exchange olive oil with chicken
substitute	replace almond milk with eggs
substitute	switch honey for eggs
remove	exclude milk
substitute	exchange yogurt with coconut milk
add	include coconut milk please
remove	skip the rice
substitute	i prefer mushroom over milk
substitute	substitute olive oil for cheese
add	can you add flour?
remove	don't use olive oil
add	include sugar please
substitute	switch cheese for honey
remove	remove beef
remove	skip the eggs
add	let's put flour in it
remove	don't use flour
add	let's put yogurt in it
substitute	switch flour for milk
remove	no sugar in this
substitute	trade oat flour for quinoa
substitute	trade butter for quinoa
add	include beef please
remove	delete chia seeds from the list
remove	remove honey
substitute	replace sugar with flour
add	let's put olive oil in it
add	i want to include yogurt
substitute	use beef instead of rice
substitute	trade mushroom for chia seeds
add	i'd like to add tofu
remove	get rid of almond milk
substitute	change eggs to flour
add	throw in some almond milk
add	add vegan cheese
remove	get rid of beef
substitute	replace butter with almond milk
remove	can you remove tofu?
remove	can you remove cheese?
add	throw in some oat flour
remove	can you remove milk?
add	insert tofu to my recipe
substitute	use mushroom instead of rice
remove	skip the cheese
remove	delete eggs from the list
substitute	exchange chia seeds with cheese
substitute	exchange yogurt with olive oil
add	throw in some olive oil
add	add coconut milk
remove	exclude sugar
remove	exclude chicken
substitute	exchange yogurt with chia seeds
substitute	exchange butter with yogurt
add	i want to include honey
remove	take out cheese
add	i want to include quinoa
add	add mushroom to the list
substitute	substitute flour for milk
add	can you add milk?
remove	skip the olive oil
add	include honey please
remove	exclude coconut milk
add	can you add honey?
substitute	use almond milk instead of yogurt
add	insert sugar to my recipe
remove	get rid of yogurt
substitute	switch vegan cheese for olive oil
add	throw in some flour
remove	exclude chia seeds
remove	eliminate beef
substitute	exchange cheese with sugar
add	include honey please
substitute	exchange oat flour with chicken
remove	take out chicken
add	let's put eggs in it
substitute	trade almond milk for tofu
remove	no cheese in this
add	please add oat flour
add	insert sugar to my recipe
add	include flour please
substitute	trade eggs for chicken
add	add sugar
add	insert oat flour to my recipe
add	insert mushroom to my recipe
substitute	replace chicken with olive oil
add	insert olive oil to my recipe
remove	don't use vegan cheese
remove	skip the almond milk
remove	delete honey from the list
add	i want to include rice
substitute	replace tofu with almond milk
substitute	please use yogurt instead of vegan cheese
remove	eliminate quinoa
substitute	please use cheese instead of eggs
add	i'd like to add oat flour
add	please add quinoa
remove	get rid of chia seeds
substitute	trade chia seeds for almond milk
substitute	trade coconut milk for flour
remove	don't use sugar
add	i'd like to add sugar
remove	don't use tofu
remove	take out quinoa
substitute	i prefer rice over sugar
add	throw in some almond milk
add	can you add coconut milk?
add	add beef to the list
remove	no coconut milk in this
substitute	use rice instead of vegan cheese
substitute	please use olive oil instead of milk
substitute	change beef to chicken
substitute	use eggs instead of beef
remove	can you remove sugar?
add	i want to include rice
add	let's put yogurt in it
substitute	trade chicken for vegan cheese
substitute	please use rice instead of chia seeds
substitute	please use sugar instead of chia seeds
remove	can you remove chicken?
substitute	change coconut milk to oat flour
substitute	use tofu instead of chia seeds
remove	take out olive oil
add	add milk to the list
substitute	switch almond milk for beef
remove	remove olive oil
add	throw in some rice
substitute	trade honey for mushroom
remove	eliminate eggs
add	can you add beef?
add	include butter please
substitute	switch mushroom for flour
remove	delete oat flour from the list
remove	can you remove beef?
add	include rice please
substitute	i prefer chicken over vegan cheese
add	include almond milk please
add	can you add flour?
add	throw in some rice
substitute	switch coconut milk for tofu
substitute	change tofu to butter
substitute	can we swap rice with sugar?
substitute	switch vegan cheese for almond milk
substitute	change butter to beef
remove	take out honey
add	throw in some olive oil
add	insert honey to my recipe
substitute	trade oat flour for butter
remove	eliminate coconut milk
add	include beef please
remove	can you remove vegan cheese?
substitute	change beef to rice
remove	don't use butter
remove	take out mushroom
remove	don't use quinoa
add	can you add vegan cheese?
substitute	change rice to mushroom
substitute	switch olive oil for vegan cheese
remove	exclude chicken
remove	delete oat flour from the list
add	throw in some mushroom
remove	remove eggs
remove	remove butter
add	i'd like to add mushroom
substitute	change honey to yogurt
substitute	can we swap beef with yogurt?
remove	remove yogurt
add	can you add quinoa?
substitute	substitute beef for butter
add	let's put sugar in it
remove	remove sugar
remove	skip the mushroom
add	i'd like to add almond milk
remove	delete quinoa from the list
remove	exclude honey
add	please add tofu
substitute	use vegan cheese instead of olive oil
add	please add vegan cheese
add	include chicken please
substitute	can we swap milk with flour?
add	throw in some rice
substitute	substitute chicken for olive oil
substitute	replace milk with honey
remove	don't use almond milk
add	let's put oat flour in it
substitute	i prefer rice over cheese
substitute	exchange quinoa with mushroom
remove	get rid of tofu
add	include yogurt please
add	add almond milk to the list
add	i want to include flour
substitute	substitute vegan cheese for chicken
remove	eliminate butter
add	let's put tofu in it
remove	get rid of eggs
substitute	replace chia seeds with cheese
substitute	use almond milk instead of butter
add	let's put butter in it
add	let's put chicken in it
add	i want to include flour
add	throw in some butter
substitute	change oat flour to coconut milk
remove	take out honey
add	add oat flour
add	i want to include quinoa
remove	skip the eggs
remove	delete oat flour from the list
add	add milk to the list
substitute	switch almond milk for rice
add	include chia seeds please
add	add flour
add	let's put milk in it
substitute	trade eggs for yogurt
add	add sugar to the list
substitute	use almond milk instead of honey
remove	remove olive oil
add	i'd like to add coconut milk
add	include cheese please
remove	delete quinoa from the list
remove	get rid of butter
substitute	can we swap olive oil with oat flour?
substitute	replace milk with beef
add	please add beef
add	include chicken please
substitute	use butter instead of flour
substitute	change sugar to honey
add	please add butter
add	can you add olive oil?
remove	don't use sugar
substitute	i prefer mushroom over sugar
substitute	please use mushroom instead of oat flour
add	include olive oil please
substitute	exchange beef with almond milk
remove	skip the chia seeds
remove	can you remove oat flour?
substitute	i prefer butter over yogurt
substitute	change beef to milk
substitute	substitute yogurt for coconut milk
remove	don't use sugar
substitute	use sugar instead of cheese
substitute	use tofu instead of honey
substitute	change quinoa to oat flour
add	please add oat flour
remove	delete chicken from the list
remove	get rid of chicken
substitute	i prefer coconut milk over yogurt
remove	take out almond milk
remove	no yogurt in this
remove	eliminate coconut milk
remove	get rid of milk
remove	take out butter
remove	get rid of beef
substitute	please use eggs instead of cheese
remove	no quinoa in this
add	let's put honey in it
remove	no milk in this
add	add chicken
remove	get rid of butter
substitute	use olive oil instead of eggs
remove	get rid of sugar
remove	delete chia seeds from the list
substitute	i prefer coconut milk over butter
add	i want to include chicken
substitute	can we swap olive oil with quinoa?
add	throw in some almond milk
remove	delete quinoa from the list
remove	eliminate vegan cheese
remove	delete yogurt from the list
substitute	please use vegan cheese instead of cheese
remove	take out vegan cheese
remove	remove yogurt
substitute	substitute cheese for sugar
add	please add butter
substitute	please use butter instead of oat flour
add	include sugar please
substitute	exchange almond milk with yogurt
remove	get rid of flour
remove	take out sugar
substitute	use oat flour instead of almond milk
substitute	switch yogurt for honey
add	let's put tofu in it
substitute	substitute sugar for honey
remove	eliminate flour
substitute	exchange tofu with cheese
substitute	please use milk instead of quinoa
substitute	trade olive oil for chicken
remove	skip the olive oil
remove	take out almond milk
add	i'd like to add milk
remove	eliminate flour
substitute	replace vegan cheese with almond milk
remove	eliminate sugar
substitute	exchange butter with olive oil
