PrevToken	Token	NextToken	Label
get	rid	of	O
rid	of	oat flour	O
of	oat flour	<END>	B-OLD
<START>	switch	eggs	O
switch	eggs	for	B-OLD
eggs	for	beef	O
for	beef	<END>	B-NEW
<START>	include	almond milk	O
include	almond milk	please	B-NEW
almond milk	please	<END>	O
<START>	please	use	O
please	use	mushroom	O
use	mushroom	instead	B-NEW
mushroom	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	skip	the	O
skip	the	vegan cheese	O
the	vegan cheese	<END>	B-OLD
<START>	lets	put	O
lets	put	butter	O
put	butter	in	B-NEW
butter	in	it	O
in	it	<END>	O
<START>	lets	put	O
lets	put	beef	O
put	beef	in	B-NEW
beef	in	it	O
in	it	<END>	O
<START>	lets	put	O
lets	put	yogurt	O
put	yogurt	in	B-NEW
yogurt	in	it	O
in	it	<END>	O
<START>	add	tofu	O
add	tofu	to	B-NEW
tofu	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	use	yogurt	O
use	yogurt	instead	B-NEW
yogurt	instead	of	O
instead	of	coconut milk	O
of	coconut milk	<END>	B-OLD
<START>	exchange	oat flour	O
exchange	oat flour	with	B-OLD
oat flour	with	sugar	O
with	sugar	<END>	B-NEW
<START>	delete	coconut milk	O
delete	coconut milk	from	B-OLD
coconut milk	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	add	milk	O
add	milk	to	B-NEW
milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	please	add	O
please	add	butter	O
add	butter	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	oat flour	O
add	oat flour	?	B-NEW
oat flour	?	<END>	I-NEW
<START>	switch	yogurt	O
switch	yogurt	for	B-OLD
yogurt	for	cheese	O
for	cheese	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	butter	O
of	butter	<END>	B-OLD
<START>	add	vegan cheese	O
add	vegan cheese	to	B-NEW
vegan cheese	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	no	honey	O
no	honey	in	B-OLD
honey	in	this	O
in	this	<END>	O
<START>	exclude	vegan cheese	O
exclude	vegan cheese	<END>	B-OLD
<START>	trade	quinoa	O
trade	quinoa	for	B-OLD
quinoa	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	can	you	O
can	you	add	O
you	add	chicken	O
add	chicken	?	B-NEW
chicken	?	<END>	I-NEW
<START>	trade	oat flour	O
trade	oat flour	for	B-OLD
oat flour	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	please	add	O
please	add	beef	O
add	beef	<END>	B-NEW
<START>	eliminate	chicken	O
eliminate	chicken	<END>	B-OLD
<START>	please	add	O
please	add	milk	O
add	milk	<END>	B-NEW
<START>	add	rice	O
add	rice	<END>	B-NEW
<START>	add	tofu	O
add	tofu	<END>	B-NEW
<START>	i	prefer	O
i	prefer	rice	O
prefer	rice	over	B-OLD
rice	over	cheese	O
over	cheese	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	honey	O
some	honey	<END>	B-NEW
<START>	replace	chicken	O
replace	chicken	with	B-OLD
chicken	with	milk	O
with	milk	<END>	B-NEW
<START>	trade	almond milk	O
trade	almond milk	for	B-OLD
almond milk	for	beef	O
for	beef	<END>	B-NEW
<START>	substitute	mushroom	O
substitute	mushroom	for	B-OLD
mushroom	for	milk	O
for	milk	<END>	B-NEW
<START>	substitute	mushroom	O
substitute	mushroom	for	B-OLD
mushroom	for	honey	O
for	honey	<END>	B-NEW
<START>	delete	eggs	O
delete	eggs	from	B-OLD
eggs	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	eliminate	flour	O
eliminate	flour	<END>	B-OLD
<START>	replace	beef	O
replace	beef	with	B-OLD
beef	with	sugar	O
with	sugar	<END>	B-NEW
<START>	delete	beef	O
delete	beef	from	B-OLD
beef	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	skip	the	O
skip	the	tofu	O
the	tofu	<END>	B-OLD
<START>	i	prefer	O
i	prefer	almond milk	O
prefer	almond milk	over	B-OLD
almond milk	over	milk	O
over	milk	<END>	B-NEW
<START>	no	tofu	O
no	tofu	in	B-OLD
tofu	in	this	O
in	this	<END>	O
<START>	take	out	O
take	out	beef	O
out	beef	<END>	B-OLD
<START>	i	prefer	O
i	prefer	mushroom	O
prefer	mushroom	over	B-OLD
mushroom	over	cheese	O
over	cheese	<END>	B-NEW
<START>	add	olive oil	O
add	olive oil	to	B-NEW
olive oil	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	trade	sugar	O
trade	sugar	for	B-OLD
sugar	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	use	milk	O
use	milk	instead	B-NEW
milk	instead	of	O
instead	of	vegan cheese	O
of	vegan cheese	<END>	B-OLD
<START>	use	flour	O
use	flour	instead	B-NEW
flour	instead	of	O
instead	of	rice	O
of	rice	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	chicken	O
remove	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	throw	in	O
throw	in	some	O
in	some	chicken	O
some	chicken	<END>	B-NEW
<START>	replace	milk	O
replace	milk	with	B-OLD
milk	with	flour	O
with	flour	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	tofu	O
include	tofu	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	oat flour	O
remove	oat flour	?	B-OLD
oat flour	?	<END>	I-OLD
<START>	eliminate	milk	O
eliminate	milk	<END>	B-OLD
<START>	lets	put	O
lets	put	beef	O
put	beef	in	B-NEW
beef	in	it	O
in	it	<END>	O
<START>	remove	yogurt	O
remove	yogurt	<END>	B-OLD
<START>	lets	put	O
lets	put	eggs	O
put	eggs	in	B-NEW
eggs	in	it	O
in	it	<END>	O
<START>	remove	quinoa	O
remove	quinoa	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	beef	O
of	beef	<END>	B-OLD
<START>	switch	rice	O
switch	rice	for	B-OLD
rice	for	sugar	O
for	sugar	<END>	B-NEW
<START>	insert	beef	O
insert	beef	to	B-NEW
beef	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	please	add	O
please	add	almond milk	O
add	almond milk	<END>	B-NEW
<START>	insert	quinoa	O
insert	quinoa	to	B-NEW
quinoa	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	skip	the	O
skip	the	mushroom	O
the	mushroom	<END>	B-OLD
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	exclude	chia	O
exclude	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	trade	olive oil	O
trade	olive oil	for	B-OLD
olive oil	for	oat flour	O
for	oat flour	<END>	B-NEW
<START>	exclude	yogurt	O
exclude	yogurt	<END>	B-OLD
<START>	substitute	chia	O
substitute	chia	seeds	B-OLD
chia	seeds	for	I-OLD
seeds	for	rice	O
for	rice	<END>	B-NEW
<START>	remove	tofu	O
remove	tofu	<END>	B-OLD
<START>	switch	chia	O
switch	chia	seeds	B-OLD
chia	seeds	for	I-OLD
seeds	for	milk	O
for	milk	<END>	B-NEW
<START>	i	prefer	O
i	prefer	almond milk	O
prefer	almond milk	over	B-OLD
almond milk	over	vegan cheese	O
over	vegan cheese	<END>	B-NEW
<START>	eliminate	oat flour	O
eliminate	oat flour	<END>	B-OLD
<START>	dont	use	O
dont	use	quinoa	O
use	quinoa	<END>	B-NEW
<START>	please	use	O
please	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	eggs	O
of	eggs	<END>	B-OLD
<START>	add	rice	O
add	rice	<END>	B-NEW
<START>	insert	chia	O
insert	chia	seeds	B-NEW
chia	seeds	to	I-NEW
seeds	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	add	flour	O
add	flour	<END>	B-NEW
<START>	please	add	O
please	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	please	add	O
please	add	sugar	O
add	sugar	<END>	B-NEW
<START>	remove	eggs	O
remove	eggs	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	vegan cheese	O
some	vegan cheese	<END>	B-NEW
<START>	dont	use	O
dont	use	honey	O
use	honey	<END>	B-NEW
<START>	please	use	O
please	use	eggs	O
use	eggs	instead	B-NEW
eggs	instead	of	O
instead	of	milk	O
of	milk	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	chicken	O
include	chicken	<END>	B-NEW
<START>	use	olive oil	O
use	olive oil	instead	B-NEW
olive oil	instead	of	O
instead	of	coconut milk	O
of	coconut milk	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	eggs	O
swap	eggs	with	B-OLD
eggs	with	butter	O
with	butter	?	B-NEW
butter	?	<END>	I-NEW
<START>	switch	oat flour	O
switch	oat flour	for	B-OLD
oat flour	for	beef	O
for	beef	<END>	B-NEW
<START>	please	use	O
please	use	quinoa	O
use	quinoa	instead	B-NEW
quinoa	instead	of	O
instead	of	tofu	O
of	tofu	<END>	B-OLD
<START>	use	flour	O
use	flour	instead	B-NEW
flour	instead	of	O
instead	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	oat flour	O
swap	oat flour	with	B-OLD
oat flour	with	quinoa	O
with	quinoa	?	B-NEW
quinoa	?	<END>	I-NEW
<START>	i	prefer	O
i	prefer	milk	O
prefer	milk	over	B-OLD
milk	over	beef	O
over	beef	<END>	B-NEW
<START>	eliminate	almond milk	O
eliminate	almond milk	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	flour	O
include	flour	<END>	B-NEW
<START>	exchange	olive oil	O
exchange	olive oil	with	B-OLD
olive oil	with	tofu	O
with	tofu	<END>	B-NEW
<START>	use	milk	O
use	milk	instead	B-NEW
milk	instead	of	O
instead	of	tofu	O
of	tofu	<END>	B-OLD
<START>	i	prefer	O
i	prefer	cheese	O
prefer	cheese	over	B-OLD
cheese	over	tofu	O
over	tofu	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	beef	O
remove	beef	?	B-OLD
beef	?	<END>	I-OLD
<START>	substitute	sugar	O
substitute	sugar	for	B-OLD
sugar	for	quinoa	O
for	quinoa	<END>	B-NEW
<START>	add	butter	O
add	butter	<END>	B-NEW
<START>	please	add	O
please	add	vegan cheese	O
add	vegan cheese	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	cheese	O
swap	cheese	with	B-OLD
cheese	with	milk	O
with	milk	?	B-NEW
milk	?	<END>	I-NEW
<START>	skip	the	O
skip	the	almond milk	O
the	almond milk	<END>	B-OLD
<START>	skip	the	O
skip	the	yogurt	O
the	yogurt	<END>	B-OLD
<START>	insert	sugar	O
insert	sugar	to	B-NEW
sugar	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	can	we	O
can	we	swap	O
we	swap	coconut milk	O
swap	coconut milk	with	B-OLD
coconut milk	with	chicken	O
with	chicken	?	B-NEW
chicken	?	<END>	I-NEW
<START>	include	vegan cheese	O
include	vegan cheese	please	B-NEW
vegan cheese	please	<END>	O
<START>	i	prefer	O
i	prefer	milk	O
prefer	milk	over	B-OLD
milk	over	eggs	O
over	eggs	<END>	B-NEW
<START>	lets	put	O
lets	put	beef	O
put	beef	in	B-NEW
beef	in	it	O
in	it	<END>	O
<START>	can	you	O
can	you	remove	O
you	remove	chicken	O
remove	chicken	?	B-OLD
chicken	?	<END>	I-OLD
<START>	no	chicken	O
no	chicken	in	B-OLD
chicken	in	this	O
in	this	<END>	O
<START>	take	out	O
take	out	eggs	O
out	eggs	<END>	B-OLD
<START>	include	almond milk	O
include	almond milk	please	B-NEW
almond milk	please	<END>	O
<START>	substitute	oat flour	O
substitute	oat flour	for	B-OLD
oat flour	for	milk	O
for	milk	<END>	B-NEW
<START>	eliminate	chicken	O
eliminate	chicken	<END>	B-OLD
<START>	change	butter	O
change	butter	to	B-OLD
butter	to	rice	O
to	rice	<END>	B-OLD
<START>	replace	vegan cheese	O
replace	vegan cheese	with	B-OLD
vegan cheese	with	rice	O
with	rice	<END>	B-NEW
<START>	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	milk	O
of	milk	<END>	B-OLD
<START>	replace	vegan cheese	O
replace	vegan cheese	with	B-OLD
vegan cheese	with	chia	O
with	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	tofu	O
remove	tofu	?	B-OLD
tofu	?	<END>	I-OLD
<START>	change	vegan cheese	O
change	vegan cheese	to	B-OLD
vegan cheese	to	flour	O
to	flour	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	yogurt	O
some	yogurt	<END>	B-NEW
<START>	trade	chia	O
trade	chia	seeds	B-OLD
chia	seeds	for	I-OLD
seeds	for	sugar	O
for	sugar	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	coconut milk	O
remove	coconut milk	?	B-OLD
coconut milk	?	<END>	I-OLD
<START>	can	you	O
can	you	remove	O
you	remove	mushroom	O
remove	mushroom	?	B-OLD
mushroom	?	<END>	I-OLD
<START>	please	add	O
please	add	milk	O
add	milk	<END>	B-NEW
<START>	insert	chia	O
insert	chia	seeds	B-NEW
chia	seeds	to	I-NEW
seeds	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	insert	mushroom	O
insert	mushroom	to	B-NEW
mushroom	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	can	you	O
can	you	add	O
you	add	oat flour	O
add	oat flour	?	B-NEW
oat flour	?	<END>	I-NEW
<START>	exchange	chia	O
exchange	chia	seeds	B-OLD
chia	seeds	with	I-OLD
seeds	with	honey	O
with	honey	<END>	B-NEW
<START>	include	olive oil	O
include	olive oil	please	B-NEW
olive oil	please	<END>	O
<START>	insert	mushroom	O
insert	mushroom	to	B-NEW
mushroom	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	eliminate	chicken	O
eliminate	chicken	<END>	B-OLD
<START>	skip	the	O
skip	the	olive oil	O
the	olive oil	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	eggs	O
add	eggs	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	butter	O
add	butter	?	B-NEW
butter	?	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	yogurt	O
remove	yogurt	?	B-OLD
yogurt	?	<END>	I-OLD
<START>	trade	honey	O
trade	honey	for	B-OLD
honey	for	flour	O
for	flour	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	chicken	O
include	chicken	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	coconut milk	O
swap	coconut milk	with	B-OLD
coconut milk	with	flour	O
with	flour	?	B-NEW
flour	?	<END>	I-NEW
<START>	no	cheese	O
no	cheese	in	B-OLD
cheese	in	this	O
in	this	<END>	O
<START>	take	out	O
take	out	vegan cheese	O
out	vegan cheese	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	chicken	O
add	chicken	<END>	B-NEW
<START>	replace	flour	O
replace	flour	with	B-OLD
flour	with	sugar	O
with	sugar	<END>	B-NEW
<START>	exclude	tofu	O
exclude	tofu	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	honey	O
include	honey	<END>	B-NEW
<START>	substitute	butter	O
substitute	butter	for	B-OLD
butter	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	trade	beef	O
trade	beef	for	B-OLD
beef	for	flour	O
for	flour	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	beef	O
of	beef	<END>	B-OLD
<START>	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	butter	O
of	butter	<END>	B-OLD
<START>	remove	beef	O
remove	beef	<END>	B-OLD
<START>	skip	the	O
skip	the	honey	O
the	honey	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	milk	O
of	milk	<END>	B-OLD
<START>	i	prefer	O
i	prefer	sugar	O
prefer	sugar	over	B-OLD
sugar	over	chia	O
over	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	add	chicken	O
add	chicken	to	B-NEW
chicken	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	please	use	O
please	use	honey	O
use	honey	instead	B-NEW
honey	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	quinoa	O
of	quinoa	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	tofu	O
swap	tofu	with	B-OLD
tofu	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	take	out	O
take	out	butter	O
out	butter	<END>	B-OLD
<START>	include	olive oil	O
include	olive oil	please	B-NEW
olive oil	please	<END>	O
<START>	please	use	O
please	use	butter	O
use	butter	instead	B-NEW
butter	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	switch	flour	O
switch	flour	for	B-OLD
flour	for	sugar	O
for	sugar	<END>	B-NEW
<START>	take	out	O
take	out	flour	O
out	flour	<END>	B-OLD
<START>	use	vegan cheese	O
use	vegan cheese	instead	B-NEW
vegan cheese	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	vegan cheese	O
swap	vegan cheese	with	B-OLD
vegan cheese	with	milk	O
with	milk	?	B-NEW
milk	?	<END>	I-NEW
<START>	insert	chicken	O
insert	chicken	to	B-NEW
chicken	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	throw	in	O
throw	in	some	O
in	some	olive oil	O
some	olive oil	<END>	B-NEW
<START>	include	tofu	O
include	tofu	please	B-NEW
tofu	please	<END>	O
<START>	use	yogurt	O
use	yogurt	instead	B-NEW
yogurt	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	use	vegan cheese	O
use	vegan cheese	instead	B-NEW
vegan cheese	instead	of	O
instead	of	honey	O
of	honey	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	sugar	O
swap	sugar	with	B-OLD
sugar	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	insert	chia	O
insert	chia	seeds	B-NEW
chia	seeds	to	I-NEW
seeds	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	substitute	coconut milk	O
substitute	coconut milk	for	B-OLD
coconut milk	for	eggs	O
for	eggs	<END>	B-NEW
<START>	please	add	O
please	add	coconut milk	O
add	coconut milk	<END>	B-NEW
<START>	dont	use	O
dont	use	beef	O
use	beef	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	almond milk	O
swap	almond milk	with	B-OLD
almond milk	with	chia	O
with	chia	seeds	B-NEW
chia	seeds	?	I-NEW
seeds	?	<END>	I-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	rice	O
of	rice	<END>	B-OLD
<START>	i	prefer	O
i	prefer	beef	O
prefer	beef	over	B-OLD
beef	over	quinoa	O
over	quinoa	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	tofu	O
include	tofu	<END>	B-NEW
<START>	no	eggs	O
no	eggs	in	B-OLD
eggs	in	this	O
in	this	<END>	O
<START>	can	we	O
can	we	swap	O
we	swap	vegan cheese	O
swap	vegan cheese	with	B-OLD
vegan cheese	with	cheese	O
with	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	skip	the	O
skip	the	eggs	O
the	eggs	<END>	B-OLD
<START>	dont	use	O
dont	use	vegan cheese	O
use	vegan cheese	<END>	B-NEW
<START>	take	out	O
take	out	rice	O
out	rice	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	beef	O
of	beef	<END>	B-OLD
<START>	please	add	O
please	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	exclude	cheese	O
exclude	cheese	<END>	B-OLD
<START>	dont	use	O
dont	use	milk	O
use	milk	<END>	B-NEW
<START>	add	olive oil	O
add	olive oil	to	B-NEW
olive oil	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	no	flour	O
no	flour	in	B-OLD
flour	in	this	O
in	this	<END>	O
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	eggs	O
add	eggs	<END>	B-NEW
<START>	add	tofu	O
add	tofu	to	B-NEW
tofu	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	switch	coconut milk	O
switch	coconut milk	for	B-OLD
coconut milk	for	quinoa	O
for	quinoa	<END>	B-NEW
<START>	insert	tofu	O
insert	tofu	to	B-NEW
tofu	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	please	use	O
please	use	butter	O
use	butter	instead	B-NEW
butter	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	no	oat flour	O
no	oat flour	in	B-OLD
oat flour	in	this	O
in	this	<END>	O
<START>	lets	put	O
lets	put	chia	O
put	chia	seeds	B-NEW
chia	seeds	in	I-NEW
seeds	in	it	O
in	it	<END>	O
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	beef	O
add	beef	<END>	B-NEW
<START>	please	add	O
please	add	flour	O
add	flour	<END>	B-NEW
<START>	no	chicken	O
no	chicken	in	B-OLD
chicken	in	this	O
in	this	<END>	O
<START>	substitute	almond milk	O
substitute	almond milk	for	B-OLD
almond milk	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	take	out	O
take	out	yogurt	O
out	yogurt	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	yogurt	O
include	yogurt	<END>	B-NEW
<START>	please	use	O
please	use	eggs	O
use	eggs	instead	B-NEW
eggs	instead	of	O
instead	of	chia	O
of	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	include	quinoa	O
include	quinoa	please	B-NEW
quinoa	please	<END>	O
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	beef	O
add	beef	?	B-NEW
beef	?	<END>	I-NEW
<START>	delete	almond milk	O
delete	almond milk	from	B-OLD
almond milk	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	lets	put	O
lets	put	oat flour	O
put	oat flour	in	B-NEW
oat flour	in	it	O
in	it	<END>	O
<START>	dont	use	O
dont	use	olive oil	O
use	olive oil	<END>	B-NEW
<START>	add	flour	O
add	flour	<END>	B-NEW
<START>	trade	quinoa	O
trade	quinoa	for	B-OLD
quinoa	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	coconut milk	O
include	coconut milk	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	mushroom	O
some	mushroom	<END>	B-NEW
<START>	eliminate	chia	O
eliminate	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	throw	in	O
throw	in	some	O
in	some	oat flour	O
some	oat flour	<END>	B-NEW
<START>	please	use	O
please	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	eliminate	rice	O
eliminate	rice	<END>	B-OLD
<START>	exchange	almond milk	O
exchange	almond milk	with	B-OLD
almond milk	with	chicken	O
with	chicken	<END>	B-NEW
<START>	please	add	O
please	add	beef	O
add	beef	<END>	B-NEW
<START>	exchange	coconut milk	O
exchange	coconut milk	with	B-OLD
coconut milk	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	almond milk	O
add	almond milk	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	flour	O
add	flour	?	B-NEW
flour	?	<END>	I-NEW
<START>	switch	butter	O
switch	butter	for	B-OLD
butter	for	oat flour	O
for	oat flour	<END>	B-NEW
<START>	eliminate	beef	O
eliminate	beef	<END>	B-OLD
<START>	switch	yogurt	O
switch	yogurt	for	B-OLD
yogurt	for	flour	O
for	flour	<END>	B-NEW
<START>	insert	quinoa	O
insert	quinoa	to	B-NEW
quinoa	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	no	quinoa	O
no	quinoa	in	B-OLD
quinoa	in	this	O
in	this	<END>	O
<START>	switch	yogurt	O
switch	yogurt	for	B-OLD
yogurt	for	beef	O
for	beef	<END>	B-NEW
<START>	skip	the	O
skip	the	olive oil	O
the	olive oil	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	sugar	O
add	sugar	<END>	B-NEW
<START>	insert	honey	O
insert	honey	to	B-NEW
honey	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	i	prefer	O
i	prefer	rice	O
prefer	rice	over	B-OLD
rice	over	vegan cheese	O
over	vegan cheese	<END>	B-NEW
<START>	please	add	O
please	add	flour	O
add	flour	<END>	B-NEW
<START>	use	quinoa	O
use	quinoa	instead	B-NEW
quinoa	instead	of	O
instead	of	eggs	O
of	eggs	<END>	B-OLD
<START>	no	rice	O
no	rice	in	B-OLD
rice	in	this	O
in	this	<END>	O
<START>	add	mushroom	O
add	mushroom	to	B-NEW
mushroom	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	skip	the	O
skip	the	butter	O
the	butter	<END>	B-OLD
<START>	lets	put	O
lets	put	cheese	O
put	cheese	in	B-NEW
cheese	in	it	O
in	it	<END>	O
<START>	switch	chia	O
switch	chia	seeds	B-OLD
chia	seeds	for	I-OLD
seeds	for	flour	O
for	flour	<END>	B-NEW
<START>	add	chia	O
add	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	remove	quinoa	O
remove	quinoa	<END>	B-OLD
<START>	exchange	rice	O
exchange	rice	with	B-OLD
rice	with	vegan cheese	O
with	vegan cheese	<END>	B-NEW
<START>	use	yogurt	O
use	yogurt	instead	B-NEW
yogurt	instead	of	O
instead	of	rice	O
of	rice	<END>	B-OLD
<START>	please	add	O
please	add	chia	O
add	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	flour	O
of	flour	<END>	B-OLD
<START>	trade	almond milk	O
trade	almond milk	for	B-OLD
almond milk	for	eggs	O
for	eggs	<END>	B-NEW
<START>	substitute	mushroom	O
substitute	mushroom	for	B-OLD
mushroom	for	honey	O
for	honey	<END>	B-NEW
<START>	use	coconut milk	O
use	coconut milk	instead	B-NEW
coconut milk	instead	of	O
instead	of	beef	O
of	beef	<END>	B-OLD
<START>	i	prefer	O
i	prefer	rice	O
prefer	rice	over	B-OLD
rice	over	flour	O
over	flour	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	yogurt	O
of	yogurt	<END>	B-OLD
<START>	please	use	O
please	use	olive oil	O
use	olive oil	instead	B-NEW
olive oil	instead	of	O
instead	of	chia	O
of	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	remove	honey	O
remove	honey	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	vegan cheese	O
remove	vegan cheese	?	B-OLD
vegan cheese	?	<END>	I-OLD
<START>	trade	almond milk	O
trade	almond milk	for	B-OLD
almond milk	for	flour	O
for	flour	<END>	B-NEW
<START>	delete	tofu	O
delete	tofu	from	B-OLD
tofu	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	insert	cheese	O
insert	cheese	to	B-NEW
cheese	to	my	O
to	my	recipe	O
